beta,Repeat,Seed,n_q,thr,Val_Score,ROC_AUC,PR_AUC,Precision,Recall,F0_5,F1,F2,Specificity,Youden_J,Bal_Acc,MCC,Pred_Pos_Rate,TP,FP,TN,FN
0.1,1,0,13,13,0.7269454326819476,0.5961198023878139,0.6383686591754111,0.7228915662650602,0.1729106628242075,0.4418262150220913,0.27906976744186046,0.20394289598912305,0.9178571428571428,0.09076780568135034,0.5453839028406752,0.1331487499571917,0.13237639553429026,60,23,257,287
0.1,2,1,13,13,0.7273163406349725,0.5961198023878139,0.6383686591754111,0.7228915662650602,0.1729106628242075,0.4418262150220913,0.27906976744186046,0.20394289598912305,0.9178571428571428,0.09076780568135034,0.5453839028406752,0.1331487499571917,0.13237639553429026,60,23,257,287
0.2,1,0,15,14,0.6758594772426045,0.601322560724578,0.6432145743557124,0.6772151898734177,0.30835734870317005,0.5464759959141982,0.42376237623762375,0.3460543337645537,0.8178571428571428,0.12621449156031295,0.5631072457801565,0.14452334685748847,0.25199362041467305,107,51,229,240
0.2,2,1,15,14,0.6786077405665336,0.601322560724578,0.6432145743557124,0.6772151898734177,0.30835734870317005,0.5464759959141982,0.42376237623762375,0.3460543337645537,0.8178571428571428,0.12621449156031295,0.5631072457801565,0.14452334685748847,0.25199362041467305,107,51,229,240
0.3,1,0,12,6,0.6524494843665483,0.6062680115273775,0.643690237044092,0.6723549488054608,0.5677233429394812,0.6484529295589203,0.615625,0.5859607376561571,0.6571428571428571,0.22486620008233826,0.6124331000411691,0.22405822465645692,0.46730462519936206,197,96,184,150
0.3,2,1,14,11,0.652260621666221,0.5960168793742282,0.6398943937409863,0.6733067729083665,0.48703170028818443,0.6254626202812731,0.5652173913043478,0.5155582672361196,0.7071428571428572,0.19417455743104162,0.5970872787155208,0.19701772225421077,0.4003189792663477,169,82,198,178
0.4,1,0,14,5,0.6458202072442534,0.5960168793742282,0.6398943937409863,0.6341463414634146,0.5994236311239193,0.6268836648583485,0.6162962962962963,0.6060606060606061,0.5714285714285714,0.17085220255249078,0.5854261012762454,0.1700559449546635,0.5231259968102073,208,120,160,139
0.4,2,1,14,5,0.6440843264883211,0.5960168793742282,0.6398943937409863,0.6341463414634146,0.5994236311239193,0.6268836648583485,0.6162962962962963,0.6060606060606061,0.5714285714285714,0.17085220255249078,0.5854261012762454,0.1700559449546635,0.5231259968102073,208,120,160,139
0.5,1,0,14,3,0.6431885026703255,0.5960168793742282,0.6398943937409863,0.5748792270531401,0.6858789625360231,0.5941088367448827,0.6254927726675427,0.660377358490566,0.37142857142857144,0.05730753396459454,0.5286537669822973,0.06015413709387172,0.6602870813397129,238,176,104,109
0.5,2,1,16,3,0.6429696477108576,0.5986671469740634,0.641970850237996,0.5726681127982647,0.760806916426513,0.6024646280237335,0.6534653465346535,0.7138994050838291,0.29642857142857143,0.05723548785508448,0.5286177439275422,0.0644918203148041,0.7352472089314195,264,197,83,83
