beta,Repeat,Seed,Thr,F1,PR_AUC,ROC_AUC,Recall,Specificity,Precision
0.1,1,0,0.61,0.4595103578154426,0.6328956310811134,0.5957750102923013,0.3515850144092219,0.7785714285714286,0.6630434782608695
0.2,1,0,0.59,0.5159010600706714,0.6328956310811134,0.5957750102923013,0.4207492795389049,0.7392857142857143,0.6666666666666666
0.3,1,0,0.59,0.5159010600706714,0.6328956310811134,0.5957750102923013,0.4207492795389049,0.7392857142857143,0.6666666666666666
0.4,1,0,0.55,0.5868852459016394,0.6328956310811134,0.5957750102923013,0.515850144092219,0.7,0.6806083650190115
0.5,1,0,0.43,0.6436781609195402,0.6328956310811134,0.5957750102923013,0.7262247838616714,0.34285714285714286,0.5779816513761468
0.6,1,0,0.41000000000000003,0.6839622641509434,0.6328956310811134,0.5957750102923013,0.8357348703170029,0.24642857142857144,0.5788423153692615
0.7,1,0,0.41000000000000003,0.6839622641509434,0.6328956310811134,0.5957750102923013,0.8357348703170029,0.24642857142857144,0.5788423153692615
0.8,1,0,0.39,0.6887417218543046,0.6328956310811134,0.5957750102923013,0.899135446685879,0.11785714285714285,0.5581395348837209
0.9,1,0,0.39,0.6887417218543046,0.6328956310811134,0.5957750102923013,0.899135446685879,0.11785714285714285,0.5581395348837209
1.0,1,0,0.36000000000000004,0.7094736842105264,0.6328956310811134,0.5957750102923013,0.9711815561959655,0.05,0.5588723051409619
1.2,1,0,0.36000000000000004,0.7094736842105264,0.6328956310811134,0.5957750102923013,0.9711815561959655,0.05,0.5588723051409619
1.5,1,0,0.35000000000000003,0.7133891213389121,0.6328956310811134,0.5957750102923013,0.9827089337175793,0.04285714285714286,0.5599343185550082
2.0,1,0,0.35000000000000003,0.7133891213389121,0.6328956310811134,0.5957750102923013,0.9827089337175793,0.04285714285714286,0.5599343185550082
0.1,2,1,0.59,0.4795539033457249,0.6312765432900849,0.5872478386167147,0.37175792507204614,0.7785714285714286,0.675392670157068
0.2,2,1,0.59,0.4795539033457249,0.6312765432900849,0.5872478386167147,0.37175792507204614,0.7785714285714286,0.675392670157068
0.3,2,1,0.56,0.5780730897009967,0.6312765432900849,0.5872478386167147,0.5014409221902018,0.7107142857142857,0.6823529411764706
0.4,2,1,0.46,0.6090909090909091,0.6312765432900849,0.5872478386167147,0.579250720461095,0.6,0.6421725239616614
0.5,2,1,0.45,0.6405228758169934,0.6312765432900849,0.5872478386167147,0.7060518731988472,0.3821428571428571,0.5861244019138756
0.6,2,1,0.44,0.6388526727509778,0.6312765432900849,0.5872478386167147,0.7060518731988472,0.375,0.5833333333333334
0.7,2,1,0.44,0.6388526727509778,0.6312765432900849,0.5872478386167147,0.7060518731988472,0.375,0.5833333333333334
0.8,2,1,0.42000000000000004,0.6966773847802786,0.6312765432900849,0.5872478386167147,0.9365994236311239,0.06785714285714285,0.5546075085324232
0.9,2,1,0.42000000000000004,0.6966773847802786,0.6312765432900849,0.5872478386167147,0.9365994236311239,0.06785714285714285,0.5546075085324232
1.0,2,1,0.42000000000000004,0.6966773847802786,0.6312765432900849,0.5872478386167147,0.9365994236311239,0.06785714285714285,0.5546075085324232
1.2,2,1,0.01,0.7125256673511293,0.6312765432900849,0.5872478386167147,1.0,0.0,0.5534290271132376
1.5,2,1,0.01,0.7125256673511293,0.6312765432900849,0.5872478386167147,1.0,0.0,0.5534290271132376
2.0,2,1,0.01,0.7125256673511293,0.6312765432900849,0.5872478386167147,1.0,0.0,0.5534290271132376
