label,optimise_for,Repeat,Seed,n_q,thr,Val_Score,ROC_AUC,PR_AUC,Precision,Recall,F0_5,F1,F2,Specificity,Youden_J,Bal_Acc,MCC,Pred_Pos_Rate,TP,FP,TN,FN
primary_reference,f0.5,1,0,14,3,0.6431885026703255,0.5960168793742282,0.6398943937409863,0.5748792270531401,0.6858789625360231,0.5941088367448827,0.6254927726675427,0.660377358490566,0.37142857142857144,0.05730753396459454,0.5286537669822973,0.06015413709387172,0.6602870813397129,238,176,104,109
primary_reference,f0.5,2,1,16,3,0.6429696477108576,0.5986671469740634,0.641970850237996,0.5726681127982647,0.760806916426513,0.6024646280237335,0.6534653465346535,0.7138994050838291,0.29642857142857143,0.05723548785508448,0.5286177439275422,0.0644918203148041,0.7352472089314195,264,197,83,83
optimise_precision,precision,1,0,13,13,0.7560616517138257,0.5961198023878139,0.6383686591754111,0.7228915662650602,0.1729106628242075,0.4418262150220913,0.27906976744186046,0.20394289598912305,0.9178571428571428,0.09076780568135034,0.5453839028406752,0.1331487499571917,0.13237639553429026,60,23,257,287
optimise_precision,precision,2,1,13,13,0.7552272727272726,0.5961198023878139,0.6383686591754111,0.7228915662650602,0.1729106628242075,0.4418262150220913,0.27906976744186046,0.20394289598912305,0.9178571428571428,0.09076780568135034,0.5453839028406752,0.1331487499571917,0.13237639553429026,60,23,257,287
optimise_f1,f1,1,0,24,2,0.7274322417513079,0.6031134211609716,0.6349825337497172,0.5553719008264463,0.968299711815562,0.607155764365739,0.7058823529411765,0.8429503261414952,0.039285714285714285,0.007585426101276216,0.5037927130506381,0.020494376345871212,0.9649122807017544,336,269,11,11
optimise_f1,f1,2,1,24,2,0.7274375752129364,0.6031134211609716,0.6349825337497172,0.5553719008264463,0.968299711815562,0.607155764365739,0.7058823529411765,0.8429503261414952,0.039285714285714285,0.007585426101276216,0.5037927130506381,0.020494376345871212,0.9649122807017544,336,269,11,11
optimise_f2,f2,1,0,23,1,0.8678254786361916,0.6006844380403458,0.635608843353333,0.5530546623794212,0.9913544668587896,0.6067019400352733,0.7100103199174407,0.8557213930348259,0.007142857142857143,-0.0015026759983532978,0.49924866200082335,-0.008399025662363032,0.9920255183413078,344,278,2,3
optimise_f2,f2,2,1,23,1,0.8678253404138401,0.6006844380403458,0.635608843353333,0.5530546623794212,0.9913544668587896,0.6067019400352733,0.7100103199174407,0.8557213930348259,0.007142857142857143,-0.0015026759983532978,0.49924866200082335,-0.008399025662363032,0.9920255183413078,344,278,2,3
