label,description,optimise_for,beta,n_splits,min_q,n_repeats,seed_start,n_repeats_observed,roc_auc_repeat_mean,roc_auc_repeat_sd,pr_auc_repeat_mean,pr_auc_repeat_sd,precision_repeat_mean,precision_repeat_sd,recall_repeat_mean,recall_repeat_sd,f05_repeat_mean,f05_repeat_sd,f1_repeat_mean,f1_repeat_sd,f2_repeat_mean,f2_repeat_sd,tp_total,fp_total,tn_total,fn_total,pooled_precision,pooled_recall
optimise_f1,Ablation: optimize F1 instead of F0.5.,f1,,5,12,2,0,2,0.6031134211609716,0.0,0.6349825337497172,0.0,0.5553719008264463,0.0,0.968299711815562,0.0,0.607155764365739,0.0,0.7058823529411765,0.0,0.8429503261414952,0.0,672,538,22,22,0.5553719008264463,0.968299711815562
optimise_f2,Ablation: optimize F2 instead of F0.5.,f2,,5,12,2,0,2,0.6006844380403458,0.0,0.635608843353333,0.0,0.5530546623794212,0.0,0.9913544668587896,0.0,0.6067019400352733,0.0,0.7100103199174407,0.0,0.8557213930348259,0.0,688,556,4,6,0.5530546623794212,0.9913544668587896
primary_reference,Locked primary reference (optimize F0.5).,f0.5,,5,12,2,0,2,0.5973420131741458,0.00187402219180248,0.6409326219894912,0.001468276469874434,0.5737736699257023,0.0015634938836006445,0.723342939481268,0.05298206429639836,0.5982867323843081,0.005908436675454798,0.6394790596010981,0.019779596668675674,0.6871383817871975,0.03784580208907869,502,373,187,192,0.5737142857142857,0.723342939481268
optimise_precision,Ablation: optimize precision instead of F0.5.,precision,,5,12,2,0,2,0.5961198023878139,0.0,0.6383686591754111,0.0,0.7228915662650602,0.0,0.1729106628242075,0.0,0.4418262150220913,0.0,0.27906976744186046,0.0,0.20394289598912305,0.0,120,46,514,574,0.7228915662650602,0.1729106628242075
