beta,n_repeats_observed,f1_mean,f1_sd,pr_auc_mean,pr_auc_sd,roc_auc_mean,roc_auc_sd,specificity_mean,specificity_sd,recall_mean,recall_sd,modal_n_q,modal_thr
0.1,2,0.46953213058058374,0.014172926963483939,0.6320860871855991,0.0011448679563725887,0.591511424454508,0.006029620916149131,0.7785714285714286,0.0,0.361671469740634,0.014264401925953423,,
0.2,2,0.49772748170819814,0.025701320997059882,0.6320860871855991,0.0011448679563725887,0.591511424454508,0.006029620916149131,0.7589285714285714,0.027779194975185776,0.3962536023054755,0.03464211896302968,,
0.3,2,0.5469870748858341,0.04396226375173399,0.6320860871855991,0.0011448679563725887,0.591511424454508,0.006029620916149131,0.7250000000000001,0.02020305089104422,0.4610951008645533,0.05705760770381365,,
0.4,2,0.5979880774962743,0.01570177502187714,0.6320860871855991,0.0011448679563725887,0.591511424454508,0.006029620916149131,0.6499999999999999,0.07071067811865474,0.547550432276657,0.044830977481567856,,
0.5,2,0.6421005183682669,0.002231123492587742,0.6320860871855991,0.0011448679563725887,0.591511424454508,0.006029620916149131,0.3625,0.027779194975185776,0.7161383285302594,0.014264401925953423,,
0.6,2,0.6614074684509605,0.03189729797547006,0.6320860871855991,0.0011448679563725887,0.591511424454508,0.006029620916149131,0.3107142857142857,0.09091372900969896,0.770893371757925,0.09169972666684338,,
0.7,2,0.6614074684509605,0.03189729797547006,0.6320860871855991,0.0011448679563725887,0.591511424454508,0.006029620916149131,0.3107142857142857,0.09091372900969896,0.770893371757925,0.09169972666684338,,
0.8,2,0.6927095533172916,0.005611361068166915,0.6320860871855991,0.0011448679563725887,0.591511424454508,0.006029620916149131,0.09285714285714286,0.03535533905932738,0.9178674351585014,0.02649103214819918,,
0.9,2,0.6927095533172916,0.005611361068166915,0.6320860871855991,0.0011448679563725887,0.591511424454508,0.006029620916149131,0.09285714285714286,0.03535533905932738,0.9178674351585014,0.02649103214819918,,
1.0,2,0.7030755344954025,0.009048350101221729,0.6320860871855991,0.0011448679563725887,0.591511424454508,0.006029620916149131,0.05892857142857143,0.012626906806902628,0.9538904899135447,0.024453260444491594,,
1.2,2,0.7109996757808279,0.002158077974787365,0.6320860871855991,0.0011448679563725887,0.591511424454508,0.006029620916149131,0.025,0.03535533905932738,0.9855907780979827,0.020377717037076262,,
1.5,2,0.7129573943450207,0.0006105541700037549,0.6320860871855991,0.0011448679563725887,0.591511424454508,0.006029620916149131,0.02142857142857143,0.030304576336566323,0.9913544668587897,0.012226630222245757,,
2.0,2,0.7129573943450207,0.0006105541700037549,0.6320860871855991,0.0011448679563725887,0.591511424454508,0.006029620916149131,0.02142857142857143,0.030304576336566323,0.9913544668587897,0.012226630222245757,,
