0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131
1.0000001,0.63297826,0.6894726,0.5963602,0.60774386,0.69725394,0.7531154,0.56865895,0.77648354,0.6443191,0.6660896,0.63738036,0.66346586,0.58669245,0.5685877,0.920162,0.5956965,0.6530245,0.5000453,0.498619,0.69429326,0.59194833,0.58122313,0.7948309,0.5759007,0.89592695,0.68444926,0.49629542,0.68545127,0.5828239,0.69007146,0.8049529,0.63397735,0.6237083,0.9180668,0.6177588,0.7177713,0.67780226,0.581523,0.4928656,0.7178775,0.9276177,0.5397811,0.6336672,0.7058043,0.48219568,0.61288697,0.66537625,0.84033966,0.5385555,0.6229969,0.62204224,0.65558255,0.7868066,0.7834249,0.6631657,0.52005273,0.51843435,0.5772092,0.91107696,0.69619155,0.85959667,0.6916821,0.63452053,0.5728623,0.7073779,0.52734554,0.7372685,0.57876104,0.6982548,0.7017505,0.8466892,0.50944245,0.7741496,0.7570744,0.6872397,0.5892932,0.6034687,0.6071707,0.90374917,0.7856981,0.58845896,0.6299974,0.6919194,0.5529337,0.576401,0.55106974,0.6000868,0.8945713,0.66087973,0.5452055,0.7728026,0.8805244,0.67132777,0.70333797,0.700794,0.6037216,0.6881973,0.6860334,0.7155485,0.77338135,0.5633141,0.63279974,0.5817871,0.78129816,0.65537524,0.51096344,0.52417976,0.80797946,0.7020372,0.88612604,0.6526994,0.64652205,0.7256041,0.5415998,0.7608342,0.7111846,0.56483614,0.6469179,0.8353368,0.69047666,0.8108873,0.72362983,0.6022267,0.88232493,0.6500732,0.728972,0.66319764,0.5918693,0.6819205,0.6469492,0.5454334
0.63297826,1.0000002,0.6593028,0.8102898,0.7261271,0.753818,0.646308,0.59588224,0.5958335,0.7012831,0.5171062,0.9769799,0.83555204,0.89704454,0.6036555,0.62775874,0.636783,0.6364007,0.7556111,0.5931297,0.56367135,0.8438785,0.88904923,0.6906517,0.6124713,0.5625031,0.6935339,0.7488107,0.77700055,0.76734704,0.58327055,0.5985512,0.6099162,0.68940264,0.55469435,0.6991176,0.7656889,0.58528996,0.84585506,0.58493316,0.7124019,0.5688136,0.83853793,0.81889963,0.577469,0.55987364,0.8778157,0.59273213,0.5702092,0.82336485,0.84669715,0.7096745,0.6183039,0.6666664,0.6608761,0.64869106,0.8329478,0.54459244,0.7913188,0.5612374,0.69883937,0.5631036,0.6408528,0.7793241,0.84405285,0.739786,0.6016679,0.5660105,0.91909164,0.770489,0.64277273,0.5684734,0.78010154,0.6493595,0.6304662,0.5535601,0.6579261,0.7624755,0.8066062,0.6102646,0.6870331,0.6862436,0.7201316,0.49646416,0.8231692,0.8067335,0.63541704,0.7375695,0.565311,0.4945645,0.82619125,0.6010078,0.56110126,0.63526523,0.78878534,0.6251252,0.75822675,0.6414384,0.67323637,0.77902377,0.6284516,0.58595055,0.6838713,0.6419478,0.55221987,0.6511348,0.76778245,0.56278443,0.5319277,0.64733994,0.57164484,0.51782244,0.6743459,0.68928117,0.8438087,0.68026125,0.602795,0.6292881,0.63330203,0.57502604,0.90468836,0.6008783,0.61351883,0.86417234,0.5775083,0.64499086,0.7112893,0.95088565,0.8904959,0.60278785,0.6298174,0.55802834
0.6894726,0.6593028,1.0,0.58175176,0.58154225,0.71598625,0.7290507,0.60680586,0.608096,0.6493398,0.52536815,0.6746763,0.62189996,0.60264564,0.5741103,0.6455335,0.695571,0.9456268,0.605187,0.51358,0.54155266,0.64551634,0.57843685,0.7624225,0.6851769,0.6055774,0.8238908,0.6204629,0.7041881,0.5566548,0.6593522,0.56798774,0.8010793,0.6600146,0.681741,0.777587,0.73020405,0.63177395,0.64439553,0.54687965,0.63514566,0.6251407,0.61658657,0.84890306,0.6627396,0.50324947,0.6534452,0.63499826,0.60186625,0.62612796,0.6526505,0.61069465,0.78642726,0.67577463,0.610755,0.930772,0.58041596,0.5131586,0.5586769,0.6799728,0.70884275,0.58652276,0.9588554,0.673874,0.63645685,0.6642956,0.57583696,0.5776787,0.58759815,0.7074734,0.64338696,0.5481312,0.59651,0.7923481,0.6456352,0.5511688,0.58392984,0.6681093,0.56862473,0.6448218,0.7480187,0.5765429,0.6004404,0.5168373,0.6566121,0.59796077,0.58801055,0.5890761,0.69110227,0.49934214,0.6528257,0.6146186,0.59970015,0.83677965,0.71630144,0.6416138,0.8145907,0.63235545,0.93480915,0.6831766,0.6888957,0.5960261,0.7281081,0.58496845,0.67172766,0.7774823,0.6099915,0.55841696,0.66978437,0.6247503,0.60266787,0.51885504,0.7326176,0.66383135,0.6399755,0.83234024,0.60800517,0.54771996,0.65321565,0.59021884,0.7034837,0.7220444,0.6175922,0.64937156,0.6087165,0.7201945,0.64182156,0.69760245,0.61290616,0.6264492,0.6056138,0.6610727
0.5963602,0.8102898,0.58175176,1.0,0.5712076,0.6554885,0.68527865,0.5575773,0.5406213,0.64195496,0.4274545,0.786502,0.8789833,0.9085399,0.5661297,0.5503787,0.5459569,0.5394102,0.6346231,0.5314778,0.5587124,0.7039627,0.90124536,0.62528396,0.49831504,0.5043723,0.61127156,0.6281137,0.67677975,0.9549702,0.58985066,0.5779954,0.5482533,0.6150072,0.51311404,0.6011802,0.66931045,0.5829328,0.7070533,0.5014331,0.6526451,0.51788425,0.6886985,0.7254812,0.57800514,0.49646333,0.74626887,0.5957385,0.5128774,0.6640274,0.85130763,0.6364769,0.5527166,0.7055781,0.5864766,0.5641917,0.6947086,0.49952546,0.93587005,0.51576585,0.6215632,0.5107051,0.57095087,0.8640152,0.7215001,0.76094407,0.56536406,0.47394714,0.76883626,0.6786389,0.6432686,0.5267894,0.6707133,0.6722468,0.5964743,0.5284611,0.5982936,0.7034886,0.9649044,0.54894143,0.6216089,0.6134362,0.6753458,0.40856186,0.6647662,0.9048032,0.5717216,0.5997064,0.52168983,0.4065509,0.667508,0.53955287,0.5234596,0.57016385,0.69099605,0.5277434,0.66604096,0.644234,0.606505,0.7812379,0.5703633,0.49327147,0.59721047,0.578239,0.535671,0.58689606,0.6601628,0.52101153,0.4771644,0.6366506,0.51146215,0.4407154,0.589559,0.6218858,0.684648,0.7024757,0.53857917,0.57329136,0.5173395,0.5130621,0.79860276,0.6402946,0.53368,0.8941768,0.53221047,0.594163,0.64632136,0.7528019,0.9392764,0.6119985,0.55016834,0.45577595
0.60774386,0.7261271,0.58154225,0.5712076,0.9999999,0.6177063,0.55326027,0.5432261,0.5794833,0.6167648,0.49776307,0.7457592,0.609133,0.6594948,0.56056273,0.63730174,0.6051205,0.5727724,0.6209018,0.5105105,0.43908718,0.6946163,0.6429609,0.66414136,0.5950976,0.5681102,0.6079102,0.6220815,0.61638427,0.5168819,0.5774193,0.48458314,0.5586038,0.6200946,0.56024873,0.57581174,0.63846433,0.5204843,0.67634916,0.53321314,0.63903695,0.5603597,0.63995874,0.63103676,0.5600206,0.49853262,0.6813534,0.5445156,0.54333067,0.6565694,0.68180346,0.6686392,0.5761615,0.5472194,0.62722147,0.5979782,0.6418979,0.46617344,0.5271929,0.55813515,0.64043605,0.54719627,0.5552571,0.59617764,0.6763624,0.6489945,0.5363583,0.5837835,0.66229594,0.6288697,0.5846174,0.55415523,0.60877085,0.568307,0.5383889,0.50625443,0.60563695,0.5958573,0.5555907,0.6249437,0.6595583,0.57507396,0.5932984,0.50349015,0.6526539,0.54240483,0.5532725,0.9602742,0.5673056,0.48157042,0.66704327,0.59323955,0.5187032,0.5658062,0.6335492,0.6299751,0.58741957,0.5805432,0.5545239,0.6113661,0.61199415,0.51475334,0.5970135,0.5711858,0.527865,0.58272064,0.61731285,0.4954769,0.54014975,0.5922124,0.56788075,0.4827684,0.62501395,0.63244396,0.64012516,0.6059658,0.59638333,0.57127076,0.5641391,0.59924716,0.6986632,0.567768,0.54714394,0.63913226,0.5683987,0.53457654,0.65218675,0.7226258,0.64694434,0.5294647,0.5864241,0.5326443
0.69725394,0.753818,0.71598625,0.6554885,0.6177063,0.9999995,0.77631974,0.6081174,0.6120465,0.73815745,0.50769794,0.75962615,0.74641913,0.67016554,0.5735518,0.66573787,0.63442034,0.70359296,0.6579448,0.6743641,0.6086549,0.71659875,0.6655601,0.6847896,0.625232,0.61113906,0.7649187,0.65831697,0.98629916,0.6294116,0.6607546,0.6457814,0.6995713,0.68901044,0.62040424,0.70095736,0.97258955,0.65831965,0.7241431,0.65561503,0.6886463,0.61967576,0.71707803,0.76289535,0.6663386,0.6511744,0.73972285,0.6849595,0.6261909,0.71740264,0.6901301,0.67872167,0.6838677,0.7531112,0.6374042,0.7170422,0.693903,0.6446271,0.63884306,0.6293526,0.7675153,0.60817367,0.7105275,0.6744369,0.70782983,0.7470742,0.61814696,0.5438347,0.71012133,0.9666162,0.71050394,0.62214935,0.66497904,0.71234953,0.65610033,0.5582665,0.6575326,0.6957856,0.6624786,0.6550575,0.6796268,0.64023316,0.6827609,0.5149081,0.7338101,0.64222336,0.6739602,0.6337012,0.63966304,0.4879668,0.7284762,0.61937225,0.6242635,0.67726713,0.9583491,0.62764883,0.74089,0.6963729,0.7133819,0.8194939,0.6580809,0.644115,0.7184677,0.6245194,0.5964672,0.6954962,0.6716433,0.6038913,0.57519513,0.685599,0.6030784,0.50550604,0.73199755,0.6827299,0.7259287,0.7635447,0.6255273,0.6190406,0.68267995,0.59948945,0.8363789,0.6983575,0.630075,0.68650264,0.64677465,0.73715967,0.6702512,0.7591133,0.67318654,0.6751406,0.6233978,0.58658767
0.7531154,0.646308,0.7290507,0.68527865,0.55326027,0.77631974,1.0,0.5676362,0.66578615,0.72271913,0.48865557,0.6502347,0.7785582,0.61686,0.56480056,0.7075515,0.64941514,0.7114679,0.5874596,0.5083183,0.58975005,0.60435003,0.6045039,0.6855784,0.64030606,0.6785728,0.8862947,0.59251916,0.7674752,0.6755406,0.68916416,0.6376092,0.67319286,0.6294497,0.6745506,0.7097126,0.7790706,0.7271562,0.60230225,0.5089434,0.6873316,0.69681233,0.6181314,0.7808124,0.70744616,0.4989667,0.6235263,0.7097489,0.6185547,0.61588204,0.622073,0.65424526,0.6623772,0.7758909,0.6374907,0.724375,0.59987724,0.5308543,0.66100925,0.671427,0.7518557,0.629038,0.808009,0.63842785,0.58966166,0.77252567,0.5411008,0.58417886,0.59689224,0.7715795,0.77478874,0.6177811,0.5939843,0.74759257,0.6862287,0.5667481,0.5810922,0.6802967,0.70169497,0.7132916,0.6824144,0.57413346,0.689581,0.50459254,0.64115036,0.61402136,0.54638165,0.5456536,0.66912943,0.47781006,0.63094085,0.6197442,0.63884026,0.66241753,0.767807,0.6254587,0.75016075,0.7598112,0.80116004,0.83033234,0.64706284,0.53654826,0.70691526,0.5789486,0.6292903,0.66851526,0.6061139,0.53005826,0.54952437,0.75387394,0.6597219,0.48305088,0.73027134,0.7094596,0.63466066,0.88147795,0.6023612,0.5883337,0.6467151,0.6175721,0.7374743,0.7565872,0.6274559,0.66347843,0.6720488,0.74336296,0.6876644,0.65425485,0.6234173,0.74971086,0.6453353,0.6158189
0.56865895,0.59588224,0.60680586,0.5575773,0.5432261,0.6081174,0.5676362,0.9999999,0.6372577,0.5736063,0.48798075,0.59114695,0.60247916,0.56061435,0.8481174,0.5715015,0.58341795,0.6240629,0.47826573,0.6437689,0.55098015,0.49369144,0.54448473,0.6644747,0.70873106,0.5640908,0.57625026,0.48353767,0.5970925,0.5237229,0.5692509,0.5281333,0.5655737,0.80420506,0.52977836,0.53017384,0.61527896,0.59187365,0.5069247,0.7241081,0.582876,0.54725486,0.4857703,0.5788861,0.5910359,0.6700895,0.5176048,0.5762968,0.596274,0.49244094,0.5745398,0.6574153,0.56834644,0.5777286,0.637988,0.6149954,0.48203886,0.6910294,0.51884836,0.53003556,0.5992796,0.59244496,0.5829988,0.5803618,0.4842129,0.5710148,0.89334446,0.51740694,0.5023256,0.5935639,0.5870329,0.587337,0.47834927,0.66080266,0.5312511,0.5364821,0.7573754,0.52629644,0.5494535,0.59099656,0.65939933,0.6484284,0.5749133,0.49345702,0.50287026,0.5273113,0.8115947,0.48428413,0.57213473,0.4525767,0.5030006,0.54214764,0.5946917,0.5534011,0.6026052,0.5782039,0.51367444,0.5778236,0.5876439,0.59423286,0.5783143,0.79612964,0.57034904,0.81750494,0.5855888,0.5771945,0.4752141,0.92276025,0.53587854,0.5696011,0.5635017,0.48204413,0.58369136,0.57952493,0.5034055,0.6051634,0.6701256,0.58979386,0.5874087,0.5392677,0.6195159,0.6053876,0.5551724,0.56979805,0.607456,0.49570826,0.59691864,0.5865013,0.5592676,0.5545741,0.6147256,0.68780553
0.77648354,0.5958335,0.608096,0.5406213,0.5794833,0.6120465,0.66578615,0.6372577,0.99999994,0.60456055,0.7095112,0.62203324,0.6068739,0.5359097,0.60259724,0.7877417,0.59444445,0.6194749,0.42680416,0.48944184,0.7154906,0.5448066,0.5191094,0.7680953,0.65596086,0.8568549,0.635514,0.4307497,0.58782095,0.51602894,0.6190087,0.6742509,0.5639077,0.6294374,0.7277939,0.56414574,0.6175623,0.6196592,0.52347547,0.5355111,0.7326314,0.76051825,0.47897488,0.6193511,0.6259626,0.5127332,0.5341004,0.6162815,0.8105278,0.48560295,0.55346495,0.6556834,0.5956055,0.6299069,0.8766265,0.6349851,0.47620273,0.54415154,0.5072152,0.7366042,0.66465724,0.8360795,0.59133214,0.57835525,0.5166886,0.63970274,0.56811553,0.7747561,0.5265912,0.596177,0.67753714,0.8071335,0.42596743,0.66181123,0.6705066,0.75787026,0.5897907,0.56393343,0.5462724,0.782611,0.7691409,0.59320486,0.6577219,0.75687313,0.501943,0.5155568,0.587309,0.52651143,0.72919697,0.6888809,0.49581093,0.7420639,0.7303781,0.5725047,0.588865,0.66672724,0.5746127,0.6942967,0.57097524,0.6335582,0.7715532,0.5996438,0.60306776,0.6217953,0.83074355,0.58464986,0.4324053,0.58158296,0.6796767,0.6958188,0.85301536,0.6914609,0.6257554,0.7457649,0.4804728,0.6798314,0.7769127,0.6101938,0.57612956,0.69897443,0.6057384,0.69693506,0.8087879,0.55353665,0.8164511,0.5683068,0.7559457,0.58128583,0.5380654,0.6538957,0.65754455,0.6381912
0.6443191,0.7012831,0.6493398,0.64195496,0.6167648,0.73815745,0.72271913,0.5736063,0.60456055,1.0000002,0.4986332,0.7050175,0.6715091,0.6607556,0.5334276,0.63445467,0.6654202,0.6502918,0.6230095,0.5808003,0.5853347,0.65285087,0.65227973,0.62335813,0.6138376,0.61347467,0.72516215,0.62817377,0.7313443,0.621011,0.6013326,0.60759467,0.6617889,0.6025112,0.6090411,0.726368,0.7466552,0.61080164,0.63327384,0.57121015,0.6859181,0.5932983,0.662802,0.7016708,0.60967416,0.5639363,0.6476651,0.60804194,0.5864557,0.66403764,0.6934455,0.6331451,0.663228,0.65675795,0.61030614,0.67010045,0.6310809,0.53802526,0.6302399,0.60501695,0.90490985,0.56704247,0.6441067,0.6770335,0.63799864,0.69844526,0.5973982,0.58186483,0.61758,0.73724556,0.71352,0.56736326,0.62946796,0.62465525,0.6268398,0.5431825,0.5752066,0.6671008,0.63952327,0.6191306,0.6217234,0.5789276,0.57381225,0.50505954,0.68258774,0.61221033,0.59683806,0.6158506,0.60380626,0.48453367,0.6763853,0.5673155,0.58091396,0.6462452,0.73707646,0.6064705,0.6541639,0.69428825,0.6436088,0.7028278,0.5872174,0.5383766,0.7098593,0.577446,0.5578105,0.6710831,0.62890494,0.5518518,0.5521643,0.70808464,0.58504933,0.4943113,0.73608935,0.6786311,0.6766421,0.6896751,0.6091924,0.5589928,0.6170528,0.56009895,0.7336829,0.65422237,0.5907768,0.6850839,0.61866057,0.87824905,0.6667964,0.7207869,0.65671957,0.6733736,0.6174249,0.5739201
