0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
1.0000001,0.6329781,0.6894724,0.59635997,0.6077439,0.6972537,0.7531154,0.5686592,0.7764834,0.64431894,0.66608965,0.6634656,0.5685877,0.5956961,0.50004524,0.49861884,0.69429356,0.59194815,0.79483086,0.57590103,0.8959273,0.6844491,0.69007134,0.804953,0.6339774,0.61775887,0.67780215,0.71787775,0.63366735,0.66537607,0.6229967,0.62204254,0.6555825,0.7868067,0.783425,0.5200526,0.63452035,0.707378,0.52734554,0.73726827,0.7017507,0.77414966,0.7570741,0.68723893,0.5892931,0.6034684,0.588459,0.62999725,0.8945711,0.7728028,0.70079386,0.7155487,0.7733814,0.5633141,0.5817874,0.7608341,0.7111845,0.83533657,0.81088716,0.72362983,0.6500733,0.64694923
0.6329781,0.9999999,0.6593026,0.8102899,0.7261274,0.7538177,0.6463082,0.5958823,0.59583366,0.70128316,0.51710635,0.8355522,0.6036555,0.63678265,0.75561106,0.59312975,0.56367123,0.8438786,0.6906518,0.6124716,0.562503,0.69353354,0.58327067,0.5985513,0.6099162,0.69911766,0.5852898,0.712402,0.8188998,0.5927322,0.84669673,0.7096747,0.618304,0.66666615,0.66087633,0.8329478,0.77932346,0.7397858,0.60166776,0.5660105,0.6427723,0.6493597,0.6304662,0.5535599,0.6579263,0.76247525,0.6862434,0.7201317,0.5653107,0.6010078,0.6251251,0.7790233,0.6284515,0.5859505,0.64194757,0.6802612,0.60279495,0.57502604,0.6008782,0.6135189,0.64499104,0.629817
0.6894724,0.6593026,0.99999976,0.5817519,0.58154213,0.7159864,0.72905064,0.6068055,0.6080959,0.6493398,0.5253683,0.6218998,0.57411015,0.6955709,0.60518664,0.51357996,0.5415527,0.645516,0.76242226,0.68517685,0.605577,0.82389104,0.65935206,0.5679878,0.80107915,0.77758676,0.6317736,0.63514566,0.8489034,0.63499826,0.65265036,0.6106949,0.7864273,0.6757747,0.61075497,0.5804156,0.6738738,0.6642957,0.575837,0.57767886,0.643387,0.79234815,0.6456352,0.55116886,0.5839297,0.6681092,0.576543,0.6004404,0.6911024,0.61461836,0.6416137,0.68317664,0.6888958,0.5960263,0.5849683,0.8323402,0.6080053,0.5902189,0.7220441,0.6175925,0.7201943,0.6056142
0.59635997,0.8102899,0.5817519,1.0000004,0.5712079,0.6554883,0.68527865,0.55757725,0.54062116,0.6419554,0.4274548,0.8789835,0.56612945,0.54595673,0.6346228,0.5314778,0.55871236,0.7039622,0.6252841,0.49831492,0.50437224,0.6112715,0.58985114,0.57799554,0.5482533,0.6011803,0.58293265,0.6526447,0.7254814,0.59573865,0.85130715,0.6364769,0.5527166,0.70557797,0.5864767,0.6947088,0.8640152,0.7609444,0.56536424,0.47394708,0.64326835,0.67224693,0.59647405,0.5284612,0.5982934,0.70348895,0.61343616,0.67534614,0.5216895,0.53955287,0.5277436,0.7812382,0.57036316,0.4932715,0.5782392,0.7024753,0.5385791,0.5130621,0.64029443,0.5336801,0.59416306,0.5501683
0.6077439,0.7261274,0.58154213,0.5712079,1.0,0.6177063,0.55326015,0.543226,0.5794834,0.6167648,0.49776298,0.60913277,0.56056273,0.6051203,0.6209017,0.5105103,0.43908718,0.69461644,0.664141,0.5950975,0.5681102,0.6079106,0.5774197,0.48458326,0.55860394,0.57581186,0.5204845,0.63903713,0.63103676,0.54451585,0.68180376,0.6686395,0.57616156,0.5472195,0.62722135,0.6418982,0.59617746,0.64899457,0.53635824,0.5837835,0.58461773,0.56830704,0.5383888,0.50625455,0.60563695,0.59585726,0.57507426,0.5932984,0.5673053,0.5932393,0.6299751,0.61136603,0.61199415,0.51475334,0.5711855,0.60596585,0.5963831,0.5992476,0.56776786,0.5471442,0.5345764,0.586424
0.6972537,0.7538177,0.7159864,0.6554883,0.6177063,1.0,0.77632,0.60811734,0.61204624,0.738157,0.5076978,0.74641937,0.5735517,0.6344203,0.65794516,0.674364,0.608655,0.71659875,0.68478954,0.62523246,0.61113876,0.7649188,0.6607542,0.6457814,0.6995714,0.7009574,0.6583191,0.6886467,0.762895,0.68495965,0.6901298,0.6787219,0.6838678,0.753111,0.6374039,0.6939032,0.6744369,0.7470745,0.61814713,0.5438347,0.7105037,0.7123495,0.6561003,0.5582663,0.65753263,0.69578576,0.6402335,0.68276125,0.639663,0.619372,0.62764883,0.819494,0.6580811,0.64411473,0.62451935,0.76354444,0.62552726,0.5994893,0.69835734,0.6300752,0.7371601,0.62339795
0.7531154,0.6463082,0.72905064,0.68527865,0.55326015,0.77632,1.0,0.5676367,0.66578627,0.7227191,0.4886554,0.77855825,0.5648004,0.64941514,0.58746004,0.5083182,0.5897502,0.60435,0.68557835,0.6403057,0.6785726,0.88629484,0.6891638,0.6376093,0.67319286,0.70971227,0.72715604,0.6873313,0.7808124,0.70974886,0.62207305,0.6542457,0.662377,0.7758912,0.63749075,0.5998771,0.638428,0.7725255,0.5411008,0.5841789,0.77478886,0.7475922,0.68622863,0.566748,0.58109236,0.6802969,0.5741333,0.6895809,0.6691293,0.61974406,0.62545884,0.8303322,0.6470628,0.5365485,0.57894856,0.8814776,0.60236096,0.6175723,0.75658727,0.6274559,0.74336296,0.6453351
0.5686592,0.5958823,0.6068055,0.55757725,0.543226,0.60811734,0.5676367,0.99999976,0.6372576,0.57360625,0.48798066,0.6024791,0.848117,0.58341765,0.47826564,0.64376885,0.55098015,0.49369097,0.6644745,0.70873123,0.5640907,0.57625026,0.56925076,0.5281333,0.56557345,0.53017366,0.5918736,0.58287585,0.5788864,0.5762968,0.5745396,0.6574151,0.56834626,0.57772875,0.6379882,0.48203865,0.580362,0.57101476,0.8933444,0.5174071,0.5870328,0.66080225,0.53125095,0.5364822,0.7573757,0.52629656,0.64842856,0.57491356,0.5721348,0.5421477,0.578204,0.5942328,0.57831407,0.79613,0.8175052,0.6051632,0.6701256,0.539268,0.60538733,0.55517256,0.49570823,0.6147255
0.7764834,0.59583366,0.6080959,0.54062116,0.5794834,0.61204624,0.66578627,0.6372576,0.9999999,0.6045605,0.7095113,0.60687363,0.60259724,0.5944444,0.42680424,0.4894419,0.7154907,0.54480636,0.76809514,0.6559606,0.85685486,0.635514,0.6190088,0.67425084,0.56390786,0.5641458,0.61965954,0.73263127,0.6193509,0.61628115,0.55346453,0.65568316,0.5956055,0.6299068,0.8766264,0.47620276,0.57835513,0.6397027,0.5681152,0.7747568,0.67753744,0.66181123,0.6705066,0.7578705,0.5897907,0.5639335,0.59320474,0.65772176,0.729197,0.74206364,0.66672724,0.63355845,0.77155304,0.59964365,0.6217954,0.679832,0.7769128,0.69897425,0.69693524,0.80878806,0.5683068,0.65754455
0.64431894,0.70128316,0.6493398,0.6419554,0.6167648,0.738157,0.7227191,0.57360625,0.6045605,1.0000002,0.4986332,0.671509,0.5334276,0.66542006,0.6230092,0.5808004,0.58533514,0.65285134,0.6233582,0.6138378,0.6134747,0.7251625,0.6013324,0.60759455,0.66178894,0.72636783,0.6108016,0.685918,0.7016709,0.60804224,0.69344544,0.6331453,0.66322815,0.6567577,0.61030596,0.6310812,0.67703295,0.6984451,0.59739846,0.581865,0.71352005,0.62465525,0.6268398,0.5431824,0.5752063,0.6671004,0.57892734,0.573812,0.6038062,0.5673157,0.60647047,0.70282733,0.58721733,0.53837657,0.5774461,0.68967503,0.60919213,0.560099,0.6542225,0.5907769,0.87824965,0.61742485
