Repeat,Seed,n_q,thr,Val_Score,ROC_AUC,PR_AUC,Precision,Recall,F0_5,F1,F2,Specificity,Youden_J,Bal_Acc,MCC,Pred_Pos_Rate,TP,FP,TN,FN
1,0,14,3,0.6431885026703255,0.5960168793742282,0.6398943937409863,0.5748792270531401,0.6858789625360231,0.5941088367448827,0.6254927726675427,0.660377358490566,0.37142857142857144,0.05730753396459454,0.5286537669822973,0.06015413709387172,0.6602870813397129,238,176,104,109
2,1,16,3,0.6429696477108576,0.5986671469740634,0.641970850237996,0.5726681127982647,0.760806916426513,0.6024646280237335,0.6534653465346535,0.7138994050838291,0.29642857142857143,0.05723548785508448,0.5286177439275422,0.0644918203148041,0.7352472089314195,264,197,83,83
