Repeat,Outer_Fold,Best_Exp,Best_n_q,Best_Thr,Precision_Outer,Recall_Outer,F05_Outer,TP,FP,TN,FN,Pred_Pos,Actual_Pos,f05_out_sk,f1_out,f2_out,mcc_out
1,1,0.0,3,2,0.056,0.062,0.057,1,17,785,15,18,16,0.057,0.059,0.061,0.039
1,2,0.0,3,2,0.0,0.0,0.0,0,16,786,16,16,16,0.0,0.0,0.0,-0.02
1,3,0.0,3,2,0.0,0.0,0.0,0,12,790,15,12,15,0.0,0.0,0.0,-0.017
1,4,0.0,3,2,0.143,0.133,0.141,2,12,790,13,14,15,0.141,0.138,0.135,0.122
1,5,0.0,3,2,0.0,0.0,0.0,0,9,793,15,9,15,0.0,0.0,0.0,-0.014
1,6,0.0,3,2,0.091,0.062,0.083,1,10,791,15,11,16,0.083,0.074,0.067,0.06
1,7,0.0,3,2,0.286,0.125,0.227,2,5,796,14,7,16,0.227,0.174,0.141,0.179
1,8,0.0,3,2,0.333,0.25,0.312,4,8,793,12,12,16,0.312,0.286,0.263,0.276
1,9,0.0,3,2,0.214,0.188,0.208,3,11,790,13,14,16,0.208,0.2,0.192,0.186
1,10,0.0,3,2,0.091,0.062,0.083,1,10,791,15,11,16,0.083,0.074,0.067,0.06
2,1,0.0,3,2,0.133,0.125,0.132,2,13,789,14,15,16,0.132,0.129,0.127,0.112
2,2,0.0,3,2,0.0,0.0,0.0,0,16,786,16,16,16,0.0,0.0,0.0,-0.02
2,3,0.0,3,2,0.167,0.133,0.159,2,10,792,13,12,15,0.159,0.148,0.139,0.135
2,4,0.0,3,2,0.0,0.0,0.0,0,9,793,15,9,15,0.0,0.0,0.0,-0.014
2,5,0.0,3,2,0.167,0.133,0.159,2,10,792,13,12,15,0.159,0.148,0.139,0.135
2,6,0.0,3,2,0.2,0.188,0.197,3,12,789,13,15,16,0.197,0.194,0.19,0.178
2,7,0.0,3,2,0.125,0.125,0.125,2,14,787,14,16,16,0.125,0.125,0.125,0.108
2,8,0.0,3,2,0.111,0.062,0.096,1,8,793,15,9,16,0.096,0.08,0.068,0.07
2,9,0.0,3,2,0.067,0.062,0.066,1,14,787,15,15,16,0.066,0.065,0.063,0.046
2,10,0.0,3,2,0.2,0.062,0.139,1,4,797,15,5,16,0.139,0.095,0.072,0.102
3,1,0.0,3,2,0.182,0.125,0.167,2,9,793,14,11,16,0.167,0.148,0.133,0.137
3,2,0.0,3,2,0.3,0.188,0.268,3,7,795,13,10,16,0.268,0.231,0.203,0.225
3,3,0.0,3,2,0.0,0.0,0.0,0,15,787,15,15,15,0.0,0.0,0.0,-0.019
3,4,0.0,3,2,0.0,0.0,0.0,0,16,786,15,16,15,0.0,0.0,0.0,-0.019
3,5,0.0,3,2,0.143,0.067,0.116,1,6,796,14,7,15,0.116,0.091,0.075,0.086
3,6,0.0,3,2,0.0,0.0,0.0,0,8,793,16,8,16,0.0,0.0,0.0,-0.014
3,7,0.0,3,2,0.077,0.062,0.074,1,12,789,15,13,16,0.074,0.069,0.065,0.053
3,8,0.0,3,2,0.214,0.188,0.208,3,11,790,13,14,16,0.208,0.2,0.192,0.186
3,9,0.0,3,2,0.182,0.125,0.167,2,9,792,14,11,16,0.167,0.148,0.133,0.137
3,10,0.0,3,2,0.105,0.125,0.109,2,17,784,14,19,16,0.109,0.114,0.12,0.095
4,1,0.0,3,2,0.235,0.25,0.238,4,13,789,12,17,16,0.238,0.242,0.247,0.227
4,2,0.0,3,2,0.071,0.062,0.069,1,13,789,15,14,16,0.069,0.067,0.064,0.049
4,3,0.0,3,2,0.091,0.067,0.085,1,10,792,14,11,15,0.085,0.077,0.07,0.063
4,4,0.0,3,2,0.136,0.2,0.146,3,19,783,12,22,15,0.146,0.162,0.183,0.146
4,5,0.0,3,2,0.125,0.067,0.106,1,7,795,14,8,15,0.106,0.087,0.074,0.079
4,6,0.0,3,2,0.0,0.0,0.0,0,13,788,16,13,16,0.0,0.0,0.0,-0.018
4,7,0.0,3,2,0.333,0.188,0.288,3,6,795,13,9,16,0.288,0.24,0.205,0.239
4,8,0.0,3,2,0.0,0.0,0.0,0,11,790,16,11,16,0.0,0.0,0.0,-0.017
4,9,0.0,3,2,0.091,0.062,0.083,1,10,791,15,11,16,0.083,0.074,0.067,0.06
4,10,0.0,3,2,0.0,0.0,0.0,0,8,793,16,8,16,0.0,0.0,0.0,-0.014
5,1,0.0,3,2,0.071,0.062,0.069,1,13,789,15,14,16,0.069,0.067,0.064,0.049
5,2,0.0,3,2,0.091,0.062,0.083,1,10,792,15,11,16,0.083,0.074,0.067,0.06
5,3,0.0,3,2,0.118,0.133,0.12,2,15,787,13,17,15,0.12,0.125,0.13,0.108
5,4,0.0,3,2,0.0,0.0,0.0,0,9,793,15,9,15,0.0,0.0,0.0,-0.014
5,5,0.0,3,2,0.154,0.133,0.149,2,11,791,13,13,15,0.149,0.143,0.137,0.128
5,6,0.0,3,2,0.077,0.062,0.074,1,12,789,15,13,16,0.074,0.069,0.065,0.053
5,7,0.0,3,2,0.143,0.062,0.114,1,6,795,15,7,16,0.114,0.087,0.07,0.083
5,8,0.0,3,2,0.083,0.062,0.078,1,11,790,15,12,16,0.078,0.071,0.066,0.056
5,9,0.0,3,2,0.333,0.25,0.312,4,8,793,12,12,16,0.312,0.286,0.263,0.276
5,10,0.0,3,2,0.062,0.062,0.062,1,15,786,15,16,16,0.062,0.062,0.062,0.044
6,1,0.0,3,2,0.154,0.125,0.147,2,11,791,14,13,16,0.147,0.138,0.13,0.123
6,2,0.0,3,2,0.091,0.062,0.083,1,10,792,15,11,16,0.083,0.074,0.067,0.06
6,3,0.0,3,2,0.231,0.2,0.224,3,10,792,12,13,15,0.224,0.214,0.205,0.201
6,4,0.0,3,2,0.067,0.067,0.067,1,14,788,14,15,15,0.067,0.067,0.067,0.049
6,5,0.0,3,2,0.0,0.0,0.0,0,11,791,15,11,15,0.0,0.0,0.0,-0.016
6,6,0.0,3,2,0.167,0.125,0.156,2,10,791,14,12,16,0.156,0.143,0.132,0.13
6,7,0.0,3,2,0.0,0.0,0.0,0,11,790,16,11,16,0.0,0.0,0.0,-0.017
6,8,0.0,3,2,0.077,0.062,0.074,1,12,789,15,13,16,0.074,0.069,0.065,0.053
6,9,0.0,3,2,0.083,0.062,0.078,1,11,790,15,12,16,0.078,0.071,0.066,0.056
6,10,0.0,3,2,0.231,0.188,0.221,3,10,791,13,13,16,0.221,0.207,0.195,0.194
7,1,0.0,3,2,0.0,0.0,0.0,0,15,787,16,15,16,0.0,0.0,0.0,-0.019
7,2,0.0,3,2,0.231,0.188,0.221,3,10,792,13,13,16,0.221,0.207,0.195,0.194
7,3,0.0,3,2,0.0,0.0,0.0,0,9,793,15,9,15,0.0,0.0,0.0,-0.014
7,4,0.0,3,2,0.267,0.267,0.267,4,11,791,11,15,15,0.267,0.267,0.267,0.253
7,5,0.0,3,2,0.0,0.0,0.0,0,9,793,15,9,15,0.0,0.0,0.0,-0.014
7,6,0.0,3,2,0.077,0.062,0.074,1,12,789,15,13,16,0.074,0.069,0.065,0.053
7,7,0.0,3,2,0.25,0.188,0.234,3,9,792,13,12,16,0.234,0.214,0.197,0.203
7,8,0.0,3,2,0.071,0.062,0.069,1,13,788,15,14,16,0.069,0.067,0.064,0.049
7,9,0.0,3,2,0.071,0.062,0.069,1,13,788,15,14,16,0.069,0.067,0.064,0.049
