Repeat,Outer_Fold,Best_Exp,Best_n_q,Best_Thr,Precision_Outer,Recall_Outer,F05_Outer,TP,FP,TN,FN,Pred_Pos,Actual_Pos,f05_out_sk,f1_out,f2_out,mcc_out
1,1,0.0,3,3,0.0,0.0,0.0,0,4,798,16,4,16,0.0,0.0,0.0,-0.01
1,2,0.0,3,3,0.0,0.0,0.0,0,2,800,16,2,16,0.0,0.0,0.0,-0.007
1,3,0.0,3,3,0.0,0.0,0.0,0,1,801,15,1,15,0.0,0.0,0.0,-0.005
1,4,0.0,3,3,0.333,0.067,0.185,1,2,800,14,3,15,0.185,0.111,0.079,0.142
1,5,0.0,3,3,0.0,0.0,0.0,0,2,800,15,2,15,0.0,0.0,0.0,-0.007
1,6,0.0,3,3,0.0,0.0,0.0,0,3,798,16,3,16,0.0,0.0,0.0,-0.009
1,7,0.0,3,3,0.0,0.0,0.0,0,1,800,16,1,16,0.0,0.0,0.0,-0.005
1,8,0.0,1,1,0.113,0.375,0.132,6,47,754,10,53,16,0.132,0.174,0.256,0.178
1,9,0.0,3,3,0.0,0.0,0.0,0,0,801,16,0,16,0.0,0.0,0.0,0.0
1,10,0.0,3,3,0.333,0.062,0.179,1,2,799,15,3,16,0.179,0.105,0.075,0.137
2,1,0.0,2,2,0.05,0.062,0.052,1,19,783,15,20,16,0.052,0.056,0.06,0.035
2,2,0.0,3,3,0.0,0.0,0.0,0,2,800,16,2,16,0.0,0.0,0.0,-0.007
2,3,0.0,3,3,1.0,0.067,0.263,1,0,802,14,1,15,0.263,0.125,0.082,0.256
2,4,0.0,3,3,0.333,0.067,0.185,1,2,800,14,3,15,0.185,0.111,0.079,0.142
2,5,0.0,3,3,0.333,0.067,0.185,1,2,800,14,3,15,0.185,0.111,0.079,0.142
2,6,0.0,3,3,0.0,0.0,0.0,0,1,800,16,1,16,0.0,0.0,0.0,-0.005
2,7,0.0,3,3,0.0,0.0,0.0,0,3,798,16,3,16,0.0,0.0,0.0,-0.009
2,8,0.0,3,3,0.0,0.0,0.0,0,4,797,16,4,16,0.0,0.0,0.0,-0.01
2,9,0.0,3,3,0.0,0.0,0.0,0,3,798,16,3,16,0.0,0.0,0.0,-0.009
2,10,0.0,3,3,0.5,0.062,0.208,1,1,800,15,2,16,0.208,0.111,0.076,0.172
3,1,0.0,3,3,1.0,0.062,0.25,1,0,802,15,1,16,0.25,0.118,0.077,0.248
3,2,0.0,3,3,0.0,0.0,0.0,0,2,800,16,2,16,0.0,0.0,0.0,-0.007
3,3,0.0,3,3,0.0,0.0,0.0,0,2,800,15,2,15,0.0,0.0,0.0,-0.007
3,4,0.0,3,3,0.2,0.067,0.143,1,4,798,14,5,15,0.143,0.1,0.077,0.106
3,5,0.0,3,3,0.333,0.067,0.185,1,2,800,14,3,15,0.185,0.111,0.079,0.142
3,6,0.0,3,3,0.0,0.0,0.0,0,2,799,16,2,16,0.0,0.0,0.0,-0.007
3,7,0.0,3,3,0.0,0.0,0.0,0,0,801,16,0,16,0.0,0.0,0.0,0.0
3,8,0.0,3,3,0.5,0.125,0.312,2,2,799,14,4,16,0.312,0.2,0.147,0.243
3,9,0.0,3,3,0.0,0.0,0.0,0,2,799,16,2,16,0.0,0.0,0.0,-0.007
3,10,0.0,3,3,0.0,0.0,0.0,0,4,797,16,4,16,0.0,0.0,0.0,-0.01
4,1,0.0,3,3,1.0,0.062,0.25,1,0,802,15,1,16,0.25,0.118,0.077,0.248
4,2,0.0,3,3,0.333,0.062,0.179,1,2,800,15,3,16,0.179,0.105,0.075,0.137
4,3,0.0,3,3,0.0,0.0,0.0,0,0,802,15,0,15,0.0,0.0,0.0,0.0
4,4,0.0,3,3,0.2,0.067,0.143,1,4,798,14,5,15,0.143,0.1,0.077,0.106
4,5,0.0,2,2,0.043,0.067,0.047,1,22,780,14,23,15,0.047,0.053,0.06,0.032
4,6,0.0,3,3,0.5,0.062,0.208,1,1,800,15,2,16,0.208,0.111,0.076,0.172
4,7,0.0,3,3,0.0,0.0,0.0,0,0,801,16,0,16,0.0,0.0,0.0,0.0
4,8,0.0,3,3,0.0,0.0,0.0,0,5,796,16,5,16,0.0,0.0,0.0,-0.011
4,9,0.0,3,3,0.0,0.0,0.0,0,2,799,16,2,16,0.0,0.0,0.0,-0.007
4,10,0.0,3,3,0.0,0.0,0.0,0,4,797,16,4,16,0.0,0.0,0.0,-0.01
