Repeat,Outer_Fold,Best_Exp,Best_n_q,Best_Thr,Precision_Outer,Recall_Outer,F05_Outer,TP,FP,TN,FN,Pred_Pos,Actual_Pos,f05_out_sk,f1_out,f2_out,mcc_out
1,1,0.0,1,1,0.03,0.125,0.036,2,64,738,14,66,16,0.036,0.049,0.077,0.023
1,2,0.0,1,1,0.031,0.125,0.036,2,63,739,14,65,16,0.036,0.049,0.078,0.024
1,3,0.0,1,1,0.022,0.067,0.026,1,44,758,14,45,15,0.026,0.033,0.048,0.007
1,4,0.0,1,1,0.077,0.267,0.09,4,48,754,11,52,15,0.09,0.119,0.179,0.114
1,5,0.0,1,1,0.018,0.067,0.021,1,55,747,14,56,15,0.021,0.028,0.043,-0.001
1,6,0.0,1,1,0.066,0.25,0.077,4,57,744,12,61,16,0.077,0.104,0.16,0.094
1,7,0.0,1,1,0.058,0.188,0.067,3,49,752,13,52,16,0.067,0.088,0.129,0.072
1,8,0.0,1,1,0.113,0.375,0.132,6,47,754,10,53,16,0.132,0.174,0.256,0.178
1,9,0.0,1,1,0.042,0.125,0.048,2,46,755,14,48,16,0.048,0.062,0.089,0.04
1,10,0.0,1,1,0.082,0.25,0.094,4,45,756,12,49,16,0.094,0.123,0.177,0.113
2,1,0.0,1,1,0.038,0.125,0.044,2,51,751,14,53,16,0.044,0.058,0.085,0.035
2,2,0.0,1,1,0.018,0.062,0.021,1,55,747,15,56,16,0.021,0.028,0.042,-0.003
2,3,0.0,1,1,0.068,0.2,0.079,3,41,761,12,44,15,0.079,0.102,0.144,0.089
2,4,0.0,1,1,0.034,0.133,0.04,2,57,745,13,59,15,0.04,0.054,0.084,0.032
2,5,0.0,1,1,0.051,0.2,0.06,3,56,746,12,59,15,0.06,0.081,0.126,0.068
2,6,0.0,1,1,0.064,0.188,0.074,3,44,757,13,47,16,0.074,0.095,0.135,0.079
2,7,0.0,1,1,0.111,0.375,0.129,6,48,753,10,54,16,0.129,0.171,0.254,0.176
2,8,0.0,1,1,0.048,0.188,0.056,3,60,741,13,63,16,0.056,0.076,0.118,0.058
2,9,0.0,1,1,0.032,0.125,0.038,2,60,741,14,62,16,0.038,0.051,0.079,0.026
2,10,0.0,1,1,0.08,0.25,0.093,4,46,755,12,50,16,0.093,0.121,0.175,0.111
3,1,0.0,1,1,0.037,0.125,0.043,2,52,750,14,54,16,0.043,0.057,0.085,0.034
3,2,0.0,1,1,0.041,0.125,0.047,2,47,755,14,49,16,0.047,0.062,0.088,0.039
3,3,0.0,1,1,0.034,0.133,0.04,2,57,745,13,59,15,0.04,0.054,0.084,0.032
3,4,0.0,1,1,0.019,0.067,0.022,1,53,749,14,54,15,0.022,0.029,0.044,0.0
3,5,0.0,1,1,0.086,0.333,0.101,5,53,749,10,58,15,0.101,0.137,0.212,0.14
3,6,0.0,1,1,0.039,0.125,0.045,2,49,752,14,51,16,0.045,0.06,0.087,0.037
3,7,0.0,1,1,0.0,0.0,0.0,0,59,742,16,59,16,0.0,0.0,0.0,-0.039
3,8,0.0,1,1,0.136,0.5,0.159,8,51,750,8,59,16,0.159,0.213,0.325,0.234
3,9,0.0,1,1,0.078,0.25,0.091,4,47,754,12,51,16,0.091,0.119,0.174,0.11
3,10,0.0,1,1,0.057,0.188,0.066,3,50,751,13,53,16,0.066,0.087,0.128,0.07
4,1,0.0,1,1,0.077,0.25,0.089,4,48,754,12,52,16,0.089,0.118,0.172,0.108
4,2,0.0,1,1,0.043,0.188,0.051,3,66,736,13,69,16,0.051,0.071,0.113,0.052
4,3,0.0,1,1,0.071,0.267,0.084,4,52,750,11,56,15,0.084,0.113,0.172,0.107
4,4,0.0,1,1,0.017,0.067,0.02,1,58,744,14,59,15,0.02,0.027,0.042,-0.003
4,5,0.0,1,1,0.061,0.2,0.071,3,46,756,12,49,15,0.071,0.094,0.138,0.081
4,6,0.0,1,1,0.065,0.188,0.075,3,43,758,13,46,16,0.075,0.097,0.136,0.08
4,7,0.0,1,1,0.069,0.25,0.081,4,54,747,12,58,16,0.081,0.108,0.164,0.099
4,8,0.0,1,1,0.04,0.125,0.046,2,48,753,14,50,16,0.046,0.061,0.088,0.038
4,9,0.0,1,1,0.02,0.062,0.023,1,50,751,15,51,16,0.023,0.03,0.043,0.0
4,10,0.0,1,1,0.07,0.25,0.082,4,53,748,12,57,16,0.082,0.11,0.165,0.1
5,1,0.0,1,1,0.018,0.062,0.02,1,56,746,15,57,16,0.02,0.027,0.041,-0.004
5,2,0.0,1,1,0.06,0.188,0.069,3,47,755,13,50,16,0.069,0.091,0.132,0.075
5,3,0.0,1,1,0.017,0.067,0.02,1,59,743,14,60,15,0.02,0.027,0.042,-0.004
5,4,0.0,1,1,0.022,0.067,0.025,1,45,757,14,46,15,0.025,0.033,0.047,0.006
5,5,0.0,1,1,0.054,0.2,0.063,3,53,749,12,56,15,0.063,0.085,0.129,0.071
5,6,0.0,1,1,0.083,0.312,0.098,5,55,746,11,60,16,0.098,0.132,0.202,0.13
5,7,0.0,1,1,0.061,0.188,0.071,3,46,755,13,49,16,0.071,0.092,0.133,0.076
5,8,0.0,1,1,0.049,0.188,0.058,3,58,743,13,61,16,0.058,0.078,0.12,0.061
5,9,0.0,1,1,0.119,0.312,0.136,5,37,764,11,42,16,0.136,0.172,0.236,0.167
5,10,0.0,1,1,0.061,0.25,0.071,4,62,739,12,66,16,0.071,0.098,0.154,0.088
6,1,0.0,1,1,0.049,0.188,0.058,3,58,744,13,61,16,0.058,0.078,0.12,0.061
6,2,0.0,1,1,0.052,0.188,0.06,3,55,747,13,58,16,0.06,0.081,0.123,0.064
6,3,0.0,1,1,0.08,0.267,0.093,4,46,756,11,50,15,0.093,0.123,0.182,0.117
6,4,0.0,1,1,0.055,0.2,0.064,3,52,750,12,55,15,0.064,0.086,0.13,0.072
6,5,0.0,1,1,0.037,0.133,0.043,2,52,750,13,54,15,0.043,0.058,0.088,0.037
6,6,0.0,1,1,0.052,0.188,0.06,3,55,746,13,58,16,0.06,0.081,0.123,0.064
6,7,0.0,1,1,0.0,0.0,0.0,0,52,749,16,52,16,0.0,0.0,0.0,-0.037
6,8,0.0,1,1,0.089,0.25,0.102,4,41,760,12,45,16,0.102,0.131,0.183,0.121
6,9,0.0,1,1,0.038,0.125,0.045,2,50,751,14,52,16,0.045,0.059,0.086,0.036
6,10,0.0,1,1,0.081,0.312,0.095,5,57,744,11,62,16,0.095,0.128,0.198,0.126
7,1,0.0,1,1,0.052,0.188,0.06,3,55,747,13,58,16,0.06,0.081,0.123,0.064
7,2,0.0,1,1,0.072,0.312,0.086,5,64,738,11,69,16,0.086,0.118,0.188,0.116
7,3,0.0,1,1,0.021,0.067,0.025,1,46,756,14,47,15,0.025,0.032,0.047,0.005
