variant,n,f0_5_mean,f0_5_std,precision_mean,precision_std,recall_mean,recall_std,pred_pos_mean,k_mean,t_mean
uniform_divgreedy_hamming085,10,0.11461000000000002,0.07751033551153749,0.12385000000000002,0.08661519304756336,0.10083,0.06757876145654047,13.8,8.5,6.3
uniform_divgreedy_jaccard085,10,0.11461000000000002,0.07751033551153749,0.12385000000000002,0.08661519304756336,0.10083,0.06757876145654047,13.8,8.5,6.3
uniform_divgreedy_phi070,10,0.11461000000000002,0.07751033551153749,0.12385000000000002,0.08661519304756336,0.10083,0.06757876145654047,13.8,8.5,6.3
uniform_rank_f05,10,0.11461000000000002,0.07751033551153749,0.12385000000000002,0.08661519304756336,0.10083,0.06757876145654047,13.8,8.5,6.3
uniform_divgreedy_precision_hamming085,10,0.11201000000000001,0.0704606659381278,0.12438,0.07929301216234491,0.09458,0.06798396542976554,12.8,7.8,5.8
uniform_rank_precision,10,0.11201000000000001,0.0704606659381278,0.12438,0.07929301216234491,0.09458,0.06798396542976554,12.8,7.8,5.8
