Repeat,Outer_Fold,Best_Exp,Best_n_q,Best_Thr,Precision_Outer,Recall_Outer,F05_Outer,TP,FP,TN,FN,Pred_Pos,Actual_Pos,f05_out_sk,f1_out,f2_out,mcc_out
1,1,0.0,6,4,0.079,0.188,0.089,3,35,767,13,38,16,0.089,0.111,0.147,0.095
1,2,0.0,5,4,0.0,0.0,0.0,0,12,790,16,12,16,0.0,0.0,0.0,-0.017
1,3,0.0,6,4,0.133,0.125,0.132,2,13,789,14,15,16,0.132,0.129,0.127,0.112
1,4,0.0,6,4,0.069,0.125,0.076,2,27,775,14,29,16,0.076,0.089,0.108,0.068
1,5,0.0,8,6,0.118,0.133,0.12,2,15,787,13,17,15,0.12,0.125,0.13,0.108
1,6,0.0,5,4,0.062,0.067,0.063,1,15,787,14,16,15,0.063,0.065,0.066,0.046
1,7,0.0,8,6,0.0,0.0,0.0,0,13,788,16,13,16,0.0,0.0,0.0,-0.018
1,8,0.0,5,4,0.235,0.25,0.238,4,13,788,12,17,16,0.238,0.242,0.247,0.227
1,9,0.0,8,6,0.222,0.125,0.192,2,7,794,14,9,16,0.192,0.16,0.137,0.154
1,10,0.0,6,4,0.091,0.125,0.096,2,20,781,14,22,16,0.096,0.105,0.116,0.086
2,1,0.0,6,4,0.136,0.188,0.144,3,19,783,13,22,16,0.144,0.158,0.174,0.14
2,2,0.0,6,4,0.056,0.062,0.057,1,17,785,15,18,16,0.057,0.059,0.061,0.039
2,3,0.0,6,4,0.107,0.188,0.117,3,25,777,13,28,16,0.117,0.136,0.163,0.119
2,4,0.0,8,6,0.0,0.0,0.0,0,11,791,16,11,16,0.0,0.0,0.0,-0.016
2,5,0.0,8,6,0.1,0.067,0.091,1,9,793,14,10,15,0.091,0.08,0.071,0.068
2,6,0.0,8,6,0.154,0.133,0.149,2,11,791,13,13,15,0.149,0.143,0.137,0.128
2,7,0.0,8,6,0.182,0.125,0.167,2,9,792,14,11,16,0.167,0.148,0.133,0.137
2,8,0.0,7,5,0.111,0.062,0.096,1,8,793,15,9,16,0.096,0.08,0.068,0.07
2,9,0.0,5,4,0.087,0.125,0.093,2,21,780,14,23,16,0.093,0.103,0.115,0.083
2,10,0.0,8,6,0.111,0.062,0.096,1,8,793,15,9,16,0.096,0.08,0.068,0.07
3,1,0.0,5,4,0.125,0.062,0.104,1,7,795,15,8,16,0.104,0.083,0.069,0.076
3,2,0.0,8,6,0.167,0.125,0.156,2,10,792,14,12,16,0.156,0.143,0.132,0.13
3,3,0.0,8,6,0.0,0.0,0.0,0,7,795,16,7,16,0.0,0.0,0.0,-0.013
3,4,0.0,5,4,0.13,0.188,0.139,3,20,782,13,23,16,0.139,0.154,0.172,0.136
3,5,0.0,8,6,0.111,0.067,0.098,1,8,794,14,9,15,0.098,0.083,0.072,0.073
3,6,0.0,6,4,0.1,0.2,0.111,3,27,775,12,30,15,0.111,0.133,0.167,0.119
3,7,0.0,8,6,0.083,0.062,0.078,1,11,790,15,12,16,0.078,0.071,0.066,0.056
3,8,0.0,8,6,0.143,0.062,0.114,1,6,795,15,7,16,0.114,0.087,0.07,0.083
3,9,0.0,8,6,0.091,0.062,0.083,1,10,791,15,11,16,0.083,0.074,0.067,0.06
3,10,0.0,8,6,0.071,0.062,0.069,1,13,788,15,14,16,0.069,0.067,0.064,0.049
4,1,0.0,5,4,0.071,0.062,0.069,1,13,789,15,14,16,0.069,0.067,0.064,0.049
4,2,0.0,6,4,0.185,0.312,0.202,5,22,780,11,27,16,0.202,0.233,0.275,0.221
4,3,0.0,8,6,0.167,0.062,0.125,1,5,797,15,6,16,0.125,0.091,0.071,0.091
4,4,0.0,8,6,0.091,0.062,0.083,1,10,792,15,11,16,0.083,0.074,0.067,0.06
4,5,0.0,8,6,0.0,0.0,0.0,0,13,789,15,13,15,0.0,0.0,0.0,-0.017
4,6,0.0,8,6,0.2,0.133,0.182,2,8,794,13,10,15,0.182,0.16,0.143,0.151
4,7,0.0,8,6,0.154,0.125,0.147,2,11,790,14,13,16,0.147,0.138,0.13,0.123
4,8,0.0,8,6,0.077,0.062,0.074,1,12,789,15,13,16,0.074,0.069,0.065,0.053
4,9,0.0,8,6,0.222,0.125,0.192,2,7,794,14,9,16,0.192,0.16,0.137,0.154
4,10,0.0,8,6,0.2,0.125,0.179,2,8,793,14,10,16,0.179,0.154,0.135,0.145
5,1,0.0,7,4,0.073,0.188,0.083,3,38,764,13,41,16,0.083,0.105,0.143,0.089
5,2,0.0,8,6,0.143,0.062,0.114,1,6,796,15,7,16,0.114,0.087,0.07,0.083
5,3,0.0,8,6,0.0,0.0,0.0,0,13,789,16,13,16,0.0,0.0,0.0,-0.018
5,4,0.0,7,5,0.062,0.062,0.062,1,15,787,15,16,16,0.062,0.062,0.062,0.044
5,5,0.0,6,4,0.105,0.133,0.11,2,17,785,13,19,15,0.11,0.118,0.127,0.1
5,6,0.0,8,6,0.143,0.067,0.116,1,6,796,14,7,15,0.116,0.091,0.075,0.086
5,7,0.0,5,4,0.1,0.062,0.089,1,9,792,15,10,16,0.089,0.077,0.068,0.065
5,8,0.0,8,6,0.143,0.125,0.139,2,12,789,14,14,16,0.139,0.133,0.128,0.117
5,9,0.0,6,4,0.217,0.312,0.231,5,18,783,11,23,16,0.231,0.256,0.287,0.243
5,10,0.0,8,6,0.083,0.062,0.078,1,11,790,15,12,16,0.078,0.071,0.066,0.056
6,1,0.0,5,4,0.154,0.125,0.147,2,11,791,14,13,16,0.147,0.138,0.13,0.123
6,2,0.0,8,6,0.077,0.062,0.074,1,12,790,15,13,16,0.074,0.069,0.065,0.053
6,3,0.0,8,6,0.143,0.125,0.139,2,12,790,14,14,16,0.139,0.133,0.128,0.117
6,4,0.0,5,4,0.154,0.125,0.147,2,11,791,14,13,16,0.147,0.138,0.13,0.123
6,5,0.0,8,6,0.091,0.067,0.085,1,10,792,14,11,15,0.085,0.077,0.07,0.063
6,6,0.0,8,5,0.032,0.067,0.036,1,30,772,14,31,15,0.036,0.043,0.055,0.021
6,7,0.0,5,4,0.286,0.125,0.227,2,5,796,14,7,16,0.227,0.174,0.141,0.179
6,8,0.0,8,6,0.1,0.062,0.089,1,9,792,15,10,16,0.089,0.077,0.068,0.065
6,9,0.0,5,4,0.071,0.062,0.069,1,13,788,15,14,16,0.069,0.067,0.064,0.049
6,10,0.0,8,6,0.1,0.062,0.089,1,9,792,15,10,16,0.089,0.077,0.068,0.065
7,1,0.0,6,4,0.13,0.188,0.139,3,20,782,13,23,16,0.139,0.154,0.172,0.136
7,2,0.0,5,4,0.0,0.0,0.0,0,11,791,16,11,16,0.0,0.0,0.0,-0.016
7,3,0.0,8,6,0.1,0.062,0.089,1,9,793,15,10,16,0.089,0.077,0.068,0.065
7,4,0.0,7,5,0.0,0.0,0.0,0,12,790,16,12,16,0.0,0.0,0.0,-0.017
7,5,0.0,8,6,0.182,0.133,0.169,2,9,793,13,11,15,0.169,0.154,0.141,0.142
7,6,0.0,8,6,0.083,0.067,0.079,1,11,791,14,12,15,0.079,0.074,0.069,0.059
7,7,0.0,8,6,0.1,0.062,0.089,1,9,792,15,10,16,0.089,0.077,0.068,0.065
7,8,0.0,5,4,0.053,0.062,0.054,1,18,783,15,19,16,0.054,0.057,0.06,0.037
7,9,0.0,8,6,0.273,0.188,0.25,3,8,793,13,11,16,0.25,0.222,0.2,0.213
7,10,0.0,8,6,0.167,0.125,0.156,2,10,791,14,12,16,0.156,0.143,0.132,0.13
8,1,0.0,6,4,0.125,0.188,0.134,3,21,781,13,24,16,0.134,0.15,0.17,0.132
8,2,0.0,8,6,0.111,0.062,0.096,1,8,794,15,9,16,0.096,0.08,0.068,0.07
8,3,0.0,6,4,0.133,0.25,0.147,4,26,776,12,30,16,0.147,0.174,0.213,0.16
8,4,0.0,8,6,0.182,0.125,0.167,2,9,793,14,11,16,0.167,0.148,0.133,0.137
8,5,0.0,8,6,0.091,0.067,0.085,1,10,792,14,11,15,0.085,0.077,0.07,0.063
8,6,0.0,5,4,0.0,0.0,0.0,0,9,793,15,9,15,0.0,0.0,0.0,-0.014
8,7,0.0,8,6,0.0,0.0,0.0,0,9,792,16,9,16,0.0,0.0,0.0,-0.015
8,8,0.0,5,4,0.059,0.062,0.06,1,16,785,15,17,16,0.06,0.061,0.062,0.041
8,9,0.0,8,6,0.125,0.125,0.125,2,14,787,14,16,16,0.125,0.125,0.125,0.108
8,10,0.0,5,4,0.154,0.125,0.147,2,11,790,14,13,16,0.147,0.138,0.13,0.123
9,1,0.0,7,5,0.067,0.062,0.066,1,14,788,15,15,16,0.066,0.065,0.063,0.046
9,2,0.0,8,6,0.0,0.0,0.0,0,11,791,16,11,16,0.0,0.0,0.0,-0.016
9,3,0.0,8,6,0.0,0.0,0.0,0,11,791,16,11,16,0.0,0.0,0.0,-0.016
9,4,0.0,15,13,0.0,0.0,0.0,0,0,802,16,0,16,0.0,0.0,0.0,0.0
9,5,0.0,6,4,0.16,0.267,0.174,4,21,781,11,25,15,0.174,0.2,0.235,0.187
9,6,0.0,8,6,0.222,0.133,0.196,2,7,795,13,9,15,0.196,0.167,0.145,0.16
9,7,0.0,8,6,0.143,0.062,0.114,1,6,795,15,7,16,0.114,0.087,0.07,0.083
9,8,0.0,8,6,0.0,0.0,0.0,0,9,792,16,9,16,0.0,0.0,0.0,-0.015
9,9,0.0,5,4,0.235,0.25,0.238,4,13,788,12,17,16,0.238,0.242,0.247,0.227
9,10,0.0,8,6,0.222,0.125,0.192,2,7,794,14,9,16,0.192,0.16,0.137,0.154
10,1,0.0,8,6,0.2,0.125,0.179,2,8,794,14,10,16,0.179,0.154,0.135,0.145
10,2,0.0,8,6,0.091,0.062,0.083,1,10,792,15,11,16,0.083,0.074,0.067,0.06
10,3,0.0,6,4,0.105,0.125,0.109,2,17,785,14,19,16,0.109,0.114,0.12,0.095
10,4,0.0,7,5,0.0,0.0,0.0,0,11,791,16,11,16,0.0,0.0,0.0,-0.016
10,5,0.0,8,6,0.0,0.0,0.0,0,11,791,15,11,15,0.0,0.0,0.0,-0.016
10,6,0.0,6,4,0.182,0.267,0.194,4,18,784,11,22,15,0.194,0.216,0.244,0.203
10,7,0.0,7,5,0.167,0.125,0.156,2,10,791,14,12,16,0.156,0.143,0.132,0.13
10,8,0.0,8,6,0.083,0.062,0.078,1,11,790,15,12,16,0.078,0.071,0.066,0.056
10,9,0.0,8,6,0.143,0.125,0.139,2,12,789,14,14,16,0.139,0.133,0.128,0.117
10,10,0.0,6,4,0.087,0.125,0.093,2,21,780,14,23,16,0.093,0.103,0.115,0.083
