Repeat,Outer_Fold,Best_Exp,Best_n_q,Best_Thr,Precision_Outer,Recall_Outer,F05_Outer,TP,FP,TN,FN,Pred_Pos,Actual_Pos,f05_out_sk,f1_out,f2_out,mcc_out
1,1,0.0,10,8,0.167,0.125,0.156,2,10,792,14,12,16,0.156,0.143,0.132,0.13
1,2,0.0,7,6,0.0,0.0,0.0,0,12,790,16,12,16,0.0,0.0,0.0,-0.017
1,3,0.0,7,6,0.125,0.062,0.104,1,7,795,15,8,16,0.104,0.083,0.069,0.076
1,4,0.0,7,6,0.1,0.062,0.089,1,9,793,15,10,16,0.089,0.077,0.068,0.065
1,5,0.0,7,6,0.133,0.133,0.133,2,13,789,13,15,15,0.133,0.133,0.133,0.117
1,6,0.0,6,5,0.077,0.067,0.075,1,12,790,14,13,15,0.075,0.071,0.068,0.055
1,7,0.0,10,8,0.0,0.0,0.0,0,10,791,16,10,16,0.0,0.0,0.0,-0.016
1,8,0.0,15,12,0.2,0.125,0.179,2,8,793,14,10,16,0.179,0.154,0.135,0.145
1,9,0.0,7,6,0.222,0.125,0.192,2,7,794,14,9,16,0.192,0.16,0.137,0.154
1,10,0.0,7,6,0.2,0.125,0.179,2,8,793,14,10,16,0.179,0.154,0.135,0.145
2,1,0.0,7,6,0.143,0.062,0.114,1,6,796,15,7,16,0.114,0.087,0.07,0.083
2,2,0.0,8,6,0.083,0.062,0.078,1,11,791,15,12,16,0.078,0.071,0.066,0.056
2,3,0.0,7,6,0.154,0.125,0.147,2,11,791,14,13,16,0.147,0.138,0.13,0.123
2,4,0.0,7,6,0.0,0.0,0.0,0,11,791,16,11,16,0.0,0.0,0.0,-0.016
2,5,0.0,9,7,0.1,0.067,0.091,1,9,793,14,10,15,0.091,0.08,0.071,0.068
2,6,0.0,7,6,0.188,0.2,0.19,3,13,789,12,16,15,0.19,0.194,0.197,0.178
2,7,0.0,10,8,0.2,0.125,0.179,2,8,793,14,10,16,0.179,0.154,0.135,0.145
2,8,0.0,7,6,0.111,0.062,0.096,1,8,793,15,9,16,0.096,0.08,0.068,0.07
