variant,repeat,fold,k_opt,t_opt,inner_f05,precision,recall,f0_5,f1,tp,fp,tn,fn,pred_pos,actual_pos,rank_metric,diversity_metric,diversity_max_similarity
uniform_divgreedy_phi070,1,8,7,5,0.1234,0.2,0.1875,0.1974,0.1935,3,12,789,13,15,16,f0_5,phi,0.7
uniform_rank_precision,1,8,7,5,0.1234,0.2,0.1875,0.1974,0.1935,3,12,789,13,15,16,precision,none,1.0
uniform_divgreedy_precision_hamming085,1,8,7,5,0.1234,0.2,0.1875,0.1974,0.1935,3,12,789,13,15,16,precision,hamming,0.85
uniform_rank_f05,1,9,8,6,0.1472,0.2,0.125,0.1786,0.1538,2,8,793,14,10,16,f0_5,none,1.0
uniform_divgreedy_hamming085,1,9,8,6,0.1472,0.2,0.125,0.1786,0.1538,2,8,793,14,10,16,f0_5,hamming,0.85
uniform_divgreedy_jaccard085,1,9,8,6,0.1472,0.2,0.125,0.1786,0.1538,2,8,793,14,10,16,f0_5,jaccard,0.85
uniform_divgreedy_phi070,1,9,8,6,0.1472,0.2,0.125,0.1786,0.1538,2,8,793,14,10,16,f0_5,phi,0.7
uniform_rank_precision,1,9,8,6,0.1472,0.2,0.125,0.1786,0.1538,2,8,793,14,10,16,precision,none,1.0
uniform_divgreedy_precision_hamming085,1,9,8,6,0.1472,0.2,0.125,0.1786,0.1538,2,8,793,14,10,16,precision,hamming,0.85
uniform_rank_f05,1,10,10,8,0.1315,0.2,0.0625,0.1389,0.0952,1,4,797,15,5,16,f0_5,none,1.0
uniform_divgreedy_hamming085,1,10,10,8,0.1315,0.2,0.0625,0.1389,0.0952,1,4,797,15,5,16,f0_5,hamming,0.85
uniform_divgreedy_jaccard085,1,10,10,8,0.1315,0.2,0.0625,0.1389,0.0952,1,4,797,15,5,16,f0_5,jaccard,0.85
uniform_divgreedy_phi070,1,10,10,8,0.1315,0.2,0.0625,0.1389,0.0952,1,4,797,15,5,16,f0_5,phi,0.7
uniform_rank_precision,1,10,10,8,0.1315,0.2,0.0625,0.1389,0.0952,1,4,797,15,5,16,precision,none,1.0
uniform_divgreedy_precision_hamming085,1,10,10,8,0.1315,0.2,0.0625,0.1389,0.0952,1,4,797,15,5,16,precision,hamming,0.85
