Repeat,Outer_Fold,Best_Exp,Best_n_q,Best_Thr,Precision_Outer,Recall_Outer,F05_Outer,TP,FP,TN,FN,Pred_Pos,Actual_Pos,f05_out_sk,f1_out,f2_out,mcc_out
1,1,0.0,7,5,0.071,0.062,0.069,1,13,789,15,14,16,0.069,0.067,0.064,0.049
1,2,0.0,13,8,0.053,0.188,0.061,3,54,748,13,57,16,0.061,0.082,0.124,0.065
1,3,0.0,13,8,0.106,0.312,0.123,5,42,760,11,47,16,0.123,0.159,0.225,0.155
1,4,0.0,13,8,0.047,0.125,0.053,2,41,761,14,43,16,0.053,0.068,0.093,0.046
1,5,0.0,13,8,0.087,0.267,0.101,4,42,760,11,46,15,0.101,0.131,0.189,0.125
1,6,0.0,13,8,0.119,0.333,0.137,5,37,765,10,42,15,0.137,0.175,0.245,0.175
1,7,0.0,6,4,0.111,0.125,0.114,2,16,785,14,18,16,0.114,0.118,0.122,0.099
1,8,0.0,13,8,0.102,0.312,0.118,5,44,757,11,49,16,0.118,0.154,0.221,0.15
1,9,0.0,13,8,0.08,0.25,0.093,4,46,755,12,50,16,0.093,0.121,0.175,0.111
1,10,0.0,5,3,0.054,0.125,0.061,2,35,766,14,37,16,0.061,0.075,0.099,0.054
2,1,0.0,13,8,0.073,0.188,0.083,3,38,764,13,41,16,0.083,0.105,0.143,0.089
2,2,0.0,13,8,0.046,0.188,0.054,3,62,740,13,65,16,0.054,0.074,0.116,0.056
2,3,0.0,13,8,0.073,0.188,0.083,3,38,764,13,41,16,0.083,0.105,0.143,0.089
2,4,0.0,13,8,0.093,0.312,0.108,5,49,753,11,54,16,0.108,0.143,0.212,0.14
2,5,0.0,13,8,0.043,0.133,0.049,2,45,757,13,47,15,0.049,0.065,0.093,0.045
2,6,0.0,13,8,0.053,0.133,0.06,2,36,766,13,38,15,0.06,0.075,0.102,0.056
2,7,0.0,10,7,0.0,0.0,0.0,0,19,782,16,19,16,0.0,0.0,0.0,-0.022
2,8,0.0,13,8,0.137,0.438,0.159,7,44,757,9,51,16,0.159,0.209,0.304,0.219
2,9,0.0,5,3,0.1,0.312,0.116,5,45,756,11,50,16,0.116,0.152,0.219,0.148
2,10,0.0,13,8,0.093,0.25,0.106,4,39,762,12,43,16,0.106,0.136,0.187,0.125
3,1,0.0,13,8,0.105,0.25,0.119,4,34,768,12,38,16,0.119,0.148,0.196,0.137
3,2,0.0,5,3,0.026,0.062,0.029,1,38,764,15,39,16,0.029,0.036,0.049,0.01
3,3,0.0,13,8,0.067,0.188,0.077,3,42,760,13,45,16,0.077,0.098,0.138,0.082
3,4,0.0,5,3,0.026,0.062,0.03,1,37,765,15,38,16,0.03,0.037,0.049,0.011
3,5,0.0,13,8,0.071,0.2,0.082,3,39,763,12,42,15,0.082,0.105,0.147,0.092
3,6,0.0,13,8,0.098,0.333,0.114,5,46,756,10,51,15,0.114,0.152,0.225,0.153
3,7,0.0,13,8,0.1,0.375,0.117,6,54,747,10,60,16,0.117,0.158,0.242,0.163
3,8,0.0,13,8,0.07,0.25,0.082,4,53,748,12,57,16,0.082,0.11,0.165,0.1
3,9,0.0,13,8,0.115,0.438,0.135,7,54,747,9,61,16,0.135,0.182,0.28,0.195
3,10,0.0,13,8,0.07,0.25,0.082,4,53,748,12,57,16,0.082,0.11,0.165,0.1
4,1,0.0,13,8,0.042,0.125,0.048,2,46,756,14,48,16,0.048,0.062,0.089,0.04
4,2,0.0,13,8,0.109,0.375,0.127,6,49,753,10,55,16,0.127,0.169,0.252,0.174
4,3,0.0,13,8,0.044,0.125,0.051,2,43,759,14,45,16,0.051,0.066,0.092,0.043
4,4,0.0,13,8,0.082,0.312,0.096,5,56,746,11,61,16,0.096,0.13,0.2,0.128
4,5,0.0,6,4,0.062,0.067,0.063,1,15,787,14,16,15,0.063,0.065,0.066,0.046
4,6,0.0,13,8,0.06,0.2,0.07,3,47,755,12,50,15,0.07,0.092,0.136,0.079
4,7,0.0,8,6,0.143,0.125,0.139,2,12,789,14,14,16,0.139,0.133,0.128,0.117
4,8,0.0,13,8,0.058,0.188,0.067,3,49,752,13,52,16,0.067,0.088,0.129,0.072
4,9,0.0,6,4,0.1,0.125,0.104,2,18,783,14,20,16,0.104,0.111,0.119,0.092
4,10,0.0,11,8,0.059,0.062,0.06,1,16,785,15,17,16,0.06,0.061,0.062,0.041
5,1,0.0,7,5,0.0,0.0,0.0,0,10,792,16,10,16,0.0,0.0,0.0,-0.016
5,2,0.0,13,8,0.135,0.438,0.156,7,45,757,9,52,16,0.156,0.206,0.302,0.216
5,3,0.0,13,8,0.105,0.375,0.123,6,51,751,10,57,16,0.123,0.164,0.248,0.169
5,4,0.0,13,8,0.044,0.125,0.051,2,43,759,14,45,16,0.051,0.066,0.092,0.043
5,5,0.0,6,4,0.0,0.0,0.0,0,19,783,15,19,15,0.0,0.0,0.0,-0.021
5,6,0.0,13,8,0.114,0.333,0.131,5,39,763,10,44,15,0.131,0.169,0.24,0.169
5,7,0.0,13,8,0.074,0.25,0.086,4,50,751,12,54,16,0.086,0.114,0.169,0.105
5,8,0.0,13,8,0.071,0.25,0.083,4,52,749,12,56,16,0.083,0.111,0.167,0.101
5,9,0.0,13,8,0.113,0.375,0.132,6,47,754,10,53,16,0.132,0.174,0.256,0.178
5,10,0.0,13,8,0.036,0.125,0.042,2,53,748,14,55,16,0.042,0.056,0.084,0.033
6,1,0.0,13,8,0.1,0.375,0.117,6,54,748,10,60,16,0.117,0.158,0.242,0.163
6,2,0.0,6,4,0.105,0.125,0.109,2,17,785,14,19,16,0.109,0.114,0.12,0.095
6,3,0.0,13,8,0.044,0.125,0.051,2,43,759,14,45,16,0.051,0.066,0.092,0.043
6,4,0.0,13,8,0.04,0.125,0.046,2,48,754,14,50,16,0.046,0.061,0.088,0.038
6,5,0.0,5,3,0.044,0.133,0.051,2,43,759,13,45,15,0.051,0.067,0.095,0.047
6,6,0.0,13,8,0.098,0.267,0.112,4,37,765,11,41,15,0.112,0.143,0.198,0.136
6,7,0.0,5,3,0.057,0.125,0.064,2,33,768,14,35,16,0.064,0.078,0.101,0.057
6,8,0.0,13,8,0.094,0.312,0.11,5,48,753,11,53,16,0.11,0.145,0.214,0.142
6,9,0.0,13,8,0.109,0.375,0.127,6,49,752,10,55,16,0.127,0.169,0.252,0.174
6,10,0.0,6,4,0.062,0.062,0.062,1,15,786,15,16,16,0.062,0.062,0.062,0.044
7,1,0.0,13,8,0.059,0.188,0.068,3,48,754,13,51,16,0.068,0.09,0.13,0.073
7,2,0.0,13,8,0.102,0.375,0.119,6,53,749,10,59,16,0.119,0.16,0.244,0.165
7,3,0.0,13,8,0.081,0.312,0.095,5,57,745,11,62,16,0.095,0.128,0.198,0.126
7,4,0.0,13,8,0.133,0.375,0.153,6,39,763,10,45,16,0.153,0.197,0.275,0.198
7,5,0.0,6,4,0.118,0.133,0.12,2,15,787,13,17,15,0.12,0.125,0.13,0.108
7,6,0.0,13,8,0.055,0.2,0.064,3,52,750,12,55,15,0.064,0.086,0.13,0.072
7,7,0.0,13,8,0.095,0.25,0.109,4,38,763,12,42,16,0.109,0.138,0.189,0.127
7,8,0.0,13,8,0.025,0.062,0.028,1,39,762,15,40,16,0.028,0.036,0.048,0.009
7,9,0.0,6,4,0.048,0.062,0.05,1,20,781,15,21,16,0.05,0.054,0.059,0.033
7,10,0.0,6,4,0.056,0.062,0.057,1,17,784,15,18,16,0.057,0.059,0.061,0.039
8,1,0.0,13,8,0.116,0.5,0.137,8,61,741,8,69,16,0.137,0.188,0.301,0.211
8,2,0.0,6,4,0.0,0.0,0.0,0,10,792,16,10,16,0.0,0.0,0.0,-0.016
8,3,0.0,13,8,0.065,0.188,0.075,3,43,759,13,46,16,0.075,0.097,0.136,0.08
8,4,0.0,6,4,0.0,0.0,0.0,0,21,781,16,21,16,0.0,0.0,0.0,-0.023
8,5,0.0,13,8,0.062,0.2,0.072,3,45,757,12,48,15,0.072,0.095,0.139,0.082
8,6,0.0,13,8,0.098,0.333,0.114,5,46,756,10,51,15,0.114,0.152,0.225,0.153
8,7,0.0,13,8,0.079,0.312,0.093,5,58,743,11,63,16,0.093,0.127,0.197,0.125
8,8,0.0,13,8,0.045,0.125,0.052,2,42,759,14,44,16,0.052,0.067,0.093,0.045
8,9,0.0,13,8,0.096,0.312,0.112,5,47,754,11,52,16,0.112,0.147,0.216,0.144
8,10,0.0,13,8,0.114,0.312,0.13,5,39,762,11,44,16,0.13,0.167,0.231,0.162
9,1,0.0,13,8,0.098,0.25,0.111,4,37,765,12,41,16,0.111,0.14,0.19,0.129
9,2,0.0,13,8,0.059,0.188,0.068,3,48,754,13,51,16,0.068,0.09,0.13,0.073
9,3,0.0,13,8,0.14,0.375,0.16,6,37,765,10,43,16,0.16,0.203,0.28,0.204
9,4,0.0,6,4,0.1,0.125,0.104,2,18,784,14,20,16,0.104,0.111,0.119,0.092
9,5,0.0,13,8,0.07,0.267,0.082,4,53,749,11,57,15,0.082,0.111,0.171,0.106
9,6,0.0,6,4,0.0,0.0,0.0,0,18,784,15,18,15,0.0,0.0,0.0,-0.021
9,7,0.0,13,8,0.048,0.125,0.054,2,40,761,14,42,16,0.054,0.069,0.094,0.047
9,8,0.0,13,8,0.061,0.188,0.071,3,46,755,13,49,16,0.071,0.092,0.133,0.076
9,9,0.0,13,8,0.117,0.438,0.137,7,53,748,9,60,16,0.137,0.184,0.282,0.197
9,10,0.0,13,8,0.109,0.312,0.125,5,41,760,11,46,16,0.125,0.161,0.227,0.157
10,1,0.0,7,5,0.056,0.062,0.057,1,17,785,15,18,16,0.057,0.059,0.061,0.039
10,2,0.0,7,5,0.0,0.0,0.0,0,15,787,16,15,16,0.0,0.0,0.0,-0.019
10,3,0.0,6,4,0.0,0.0,0.0,0,21,781,16,21,16,0.0,0.0,0.0,-0.023
10,4,0.0,5,3,0.029,0.062,0.032,1,34,768,15,35,16,0.032,0.039,0.051,0.014
10,5,0.0,13,8,0.111,0.4,0.13,6,48,754,9,54,15,0.13,0.174,0.263,0.184
10,6,0.0,13,8,0.085,0.267,0.099,4,43,759,11,47,15,0.099,0.129,0.187,0.123
10,7,0.0,13,8,0.089,0.25,0.102,4,41,760,12,45,16,0.102,0.131,0.183,0.121
